City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Matara,LK,82.2,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
7,San Cristobal,VE,78.8,fog,7.7669,-72.225,Posada Villaven C.A.
8,Sinnamary,GF,77.86,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
18,Kapaa,US,78.8,few clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
19,Puerto Ayora,EC,75.6,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
22,Rikitea,PF,78.71,overcast clouds,-23.1203,-134.9692,Pension Maro'i
23,Hithadhoo,MV,83.1,scattered clouds,-0.6,73.0833,Scoop Guest House
25,Kirakira,SB,81.68,overcast clouds,-10.4544,161.9205,SanBiz Lodge
27,Samarinda,ID,87.48,overcast clouds,-0.5,117.15,Aston Samarinda Hotel & Convention Center
28,Hambantota,LK,80.6,few clouds,6.1241,81.1185,Bungalow 63
33,Basco,PH,76.33,broken clouds,20.4487,121.9702,Nathaniel's Lodge
34,Porto Novo,BJ,80.6,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
35,Madang,PG,85.26,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
38,Harper,LR,79.93,light rain,4.375,-7.7169,Screensaver
39,Kodinar,IN,87.49,overcast clouds,20.7903,70.7031,residency of N.B vadhel
41,Bathsheba,BB,78.8,few clouds,13.2167,-59.5167,Atlantis Hotel
42,Mount Isa,AU,86.0,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
43,Blackwater,AU,80.89,clear sky,-23.5833,148.8833,Blackwater Motor Inn
48,Tevaitoa,PF,79.48,overcast clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
54,Acarau,BR,77.92,overcast clouds,-2.8856,-40.12,castelo pizzaria
68,Victoria,HK,80.01,overcast clouds,22.2855,114.1577,Mini Hotel Central
70,Mogadishu,SO,82.62,scattered clouds,2.0371,45.3438,Hotel Juba
71,Dali,CN,75.15,few clouds,25.7,100.1833,Dali Travelling With Hostel
74,Fare,PF,78.96,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
79,Kudahuvadhoo,MV,83.05,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
83,Poum,NC,78.64,overcast clouds,-20.2333,164.0167,Gîte kajeon
85,Chumphon,TH,84.2,broken clouds,10.3333,98.8333,สกาน จ๋า.
87,Geraldton,AU,78.8,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
89,Sangre Grande,TT,79.0,few clouds,10.5835,-61.1177,Lotus drive
90,Carnarvon,AU,82.4,clear sky,-24.8667,113.6333,Hospitality Carnarvon
95,Cayenne,GF,80.01,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
101,Alofi,NU,86.0,broken clouds,-19.0595,-169.9187,Taloa Heights
102,Atuona,PF,80.71,scattered clouds,-9.8,-139.0333,Villa Enata
107,Honiara,SB,83.64,light rain,-9.4333,159.95,Heritage Park Hotel
109,Salinopolis,BR,78.71,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
110,Saint George,US,77.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
113,Muroto,JP,75.2,scattered clouds,33.2833,134.15,Oota Ryokan
117,Saint-Philippe,RE,77.0,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
119,Pokhara,NP,83.89,clear sky,28.2333,83.9833,Butterfly Lodge
122,Vaini,TO,84.2,scattered clouds,-21.2,-175.2,Keleti Beach Resort
123,Avarua,CK,82.4,overcast clouds,-21.2078,-159.775,Paradise Inn
129,San Patricio,US,78.01,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
135,Sakakah,SA,75.2,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
143,Kiunga,PG,76.55,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
145,Piacabucu,BR,77.29,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
146,Arlit,NE,85.44,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
147,Pemangkat,ID,86.05,scattered clouds,1.1667,108.9667,Ramah Kost KITA
154,Samarai,PG,84.54,scattered clouds,-10.6167,150.6667,Nuli Sapi
158,Mahibadhoo,MV,83.26,broken clouds,3.7833,72.9667,Omadhoo Inn
159,Iralaya,HN,78.08,clear sky,15.0,-83.2333,Iglesia morava renovada
160,Puerto Escondido,MX,80.94,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
167,Karratha,AU,87.87,clear sky,-20.7377,116.8463,ibis Styles Karratha
170,Mecca,SA,82.15,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
171,Faanui,PF,79.79,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
172,Georgetown,MY,86.0,few clouds,5.4112,100.3354,Cititel Penang
179,Malakal,SS,84.09,overcast clouds,9.5334,31.6605,Nile Palace Hotel
180,Butaritari,KI,82.65,light rain,3.0707,172.7902,Isles Sunset Lodge
191,Sola,VU,82.54,moderate rain,-13.8833,167.55,Leumerus Bungalows
192,Manggar,ID,86.43,few clouds,-2.8833,108.2667,Guest Hotel
196,Sur,OM,86.4,clear sky,22.5667,59.5289,Sur Plaza Hotel
197,Caranan,PH,84.56,broken clouds,13.5167,123.0156,Regnim Bea Resort
200,Honavar,IN,85.95,clear sky,14.2833,74.45,Hotel Sagar Residency
202,Salalah,OM,82.4,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
214,Jacareacanga,BR,76.5,broken clouds,-6.2222,-57.7528,Casa do Ian😎
219,Makakilo City,US,80.6,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
223,Wanning,CN,85.68,scattered clouds,18.8003,110.3967,Paradise Hotel
224,Padang,ID,82.4,few clouds,-0.9492,100.3543,Mercure Padang
236,Yarada,IN,86.0,mist,17.65,83.2667,Jeevan
239,Puri,IN,86.0,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
241,Bambanglipuro,ID,84.69,few clouds,-7.95,110.2833,Puri Brata
248,Tikapur,NP,86.79,clear sky,28.5,81.1333,BANANA AGRO RESORT
249,Tual,ID,84.99,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
254,San Pedro,PH,90.0,haze,14.35,121.0167,OYO 412 Viewfort Venue
266,Saint-Pierre,RE,77.0,few clouds,-21.3393,55.4781,Lindsey Hôtel
267,Manokwari,ID,78.03,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
273,Ugoofaaru,MV,84.06,clear sky,5.6667,73.0,Ungoofaaru Inn
277,Iracoubo,GF,77.76,overcast clouds,5.4802,-53.2011,Le Gite D Iracoubo
278,Pandan,PH,81.45,broken clouds,14.0453,124.1694,Bonifacio Lodge
281,Biloela,AU,81.0,clear sky,-24.4167,150.5,Silo Motor Inn
285,Pangai,TO,80.2,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
287,Ewa Beach,US,80.6,overcast clouds,21.3156,-158.0072,Uncle Junior Robert
289,Kavieng,PG,85.33,few clouds,-2.5744,150.7967,Nusa Island Retreat
293,Gaya,IN,82.4,haze,24.7833,85.0,Hotel Kumar Kripa
301,Kavaratti,IN,84.69,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
310,Carupano,VE,75.78,broken clouds,10.6678,-63.2585,Hotel La dorada
314,Biak,ID,83.53,broken clouds,-0.9131,122.8766,Penginapan Kim
315,Isangel,VU,86.0,broken clouds,-19.55,169.2667,Tanna Lodge
316,Bintulu,MY,87.8,scattered clouds,3.1667,113.0333,900 Boutique INN
321,Namibe,AO,77.02,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
322,Tabou,CI,79.5,light rain,4.423,-7.3528,hotêl doufoulougou
324,Pundaguitan,PH,84.61,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
326,Kahului,US,80.6,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
328,Jalingo,NG,78.35,overcast clouds,8.8833,11.3667,Debright Motel
337,Kieta,PG,84.2,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
338,Mahebourg,MU,78.8,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
339,Dalby,AU,77.0,clear sky,-27.1833,151.2667,Kobbers Motor Inn Dalby
343,Namatanai,PG,85.26,scattered clouds,-3.6667,152.4333,Namatanai Hotel
344,Denpasar,ID,86.0,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
346,Luganville,VU,82.18,broken clouds,-15.5333,167.1667,The Espiritu Hotel
355,Noumea,NC,81.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
356,Gaozhou,CN,83.12,overcast clouds,21.9392,110.8461,望江楼旅业
359,Bilma,NE,83.48,clear sky,18.6853,12.9164,Expeditions Ténére voyages
362,Souillac,MU,78.8,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
363,Zhuhai,CN,80.6,few clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
364,Labuan,MY,86.0,few clouds,5.2767,115.2417,Tiara Labuan Hotel
366,Srivardhan,IN,83.34,scattered clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
367,Luanda,AO,75.2,scattered clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
370,Cabo San Lucas,MX,75.2,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
371,Kankon,IN,80.6,few clouds,15.0167,74.0167,Palolem Beach Resort
373,Bengkulu,ID,83.1,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
375,Bambous Virieux,MU,78.8,light rain,-20.3428,57.7575,Casa Tia Villa
376,Payo,ID,86.31,overcast clouds,-3.7508,103.6372,Mess keban agung
385,Bairiki,KI,82.4,light rain,1.3292,172.9752,Tarawa Boutique Hotel
391,Sarramea,NC,77.0,overcast clouds,-21.6421,165.8452,Guest House le Domaine du Meranki
395,Road Town,VG,79.0,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
397,Sharjah,AE,78.8,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
401,Pauini,BR,75.13,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
403,Rosario Oeste,BR,80.46,overcast clouds,-14.8361,-56.4275,ARLS Cavaleiros da Fraternidade n°67
404,Hobyo,SO,83.23,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
406,Wad Madani,SD,87.51,few clouds,14.4012,33.5199,فندق يوغسلافيا
423,Gushikawa,JP,75.2,broken clouds,26.3544,127.8686,Kirari Guest House
427,Sorong,ID,83.75,few clouds,-0.8833,131.25,waigo splash hotel
428,Camocim,BR,76.21,overcast clouds,-2.9022,-40.8411,Hotel Ilha do Amor
429,Biltine,TD,85.96,scattered clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
431,Punta Gorda,US,78.01,clear sky,26.9298,-82.0454,Four Points by Sheraton Punta Gorda Harborside
436,Kaduqli,SD,83.66,overcast clouds,11.0167,29.7167,فندق الله جابو
437,Yen Bai,VN,80.69,overcast clouds,21.7,104.8667,AK MOTEL
439,Riyadh,SA,75.2,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
443,Borba,BR,76.32,light rain,-4.3878,-59.5939,Hotel da Amazônia
449,Aloleng,PH,82.67,scattered clouds,16.1307,119.7824,Agno Umbrella Rocks
451,Vaijapur,IN,80.6,few clouds,19.9167,74.7333,HOTEL MATOSHRI
452,Yeppoon,AU,82.4,broken clouds,-23.1333,150.7333,Villa Mar Colina
453,Ambon,ID,89.6,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
460,Port-Gentil,GA,77.16,broken clouds,-0.7193,8.7815,Fengshui Residence
462,Katherine,AU,86.0,overcast clouds,-14.4667,132.2667,Pine Tree Motel
464,Dwarka,IN,82.89,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
465,Paciran,ID,84.16,few clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
467,Marawi,PH,87.01,scattered clouds,7.9986,124.2928,Derogongan Residence
469,Jucurutu,BR,77.27,broken clouds,-6.0339,-37.0203,Pousada Miike
476,Kalmunai,LK,83.41,few clouds,7.4167,81.8167,VS Villa
479,Mangrol,IN,84.31,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
482,Praxedis Guerrero,MX,75.2,clear sky,31.3667,-106.0167,Iglesia Bautista Dios con Nosotros
483,Tutoia,BR,77.85,overcast clouds,-2.7619,-42.2744,Pousada Guará's
484,Am Timan,TD,83.7,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
492,Bam,IR,80.85,scattered clouds,29.105999999999998,58.357,Bam Tourist Hotel
503,Cabedelo,BR,75.2,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
508,Cairns,AU,77.0,light rain,-16.9167,145.7667,Mantra Trilogy Cairns
516,Victoria Point,AU,77.0,clear sky,-27.5833,153.3,Bay Retreat Motel
519,Buchanan,LR,77.86,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
520,Meulaboh,ID,82.67,broken clouds,4.1363,96.1285,Kost Pria
526,Vanimo,PG,78.39,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
530,Port Blair,IN,84.2,mist,11.6667,92.75,Welcomhotel Bay Island Port Blair
534,Saint-Joseph,RE,77.0,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
544,Bandarbeyla,SO,82.6,scattered clouds,9.4942,50.8122,JABIR HOTEL
567,Auki,SB,83.16,broken clouds,-8.7676,160.7034,Auki Motel
572,Chake Chake,TZ,75.7,light rain,-5.2459,39.7666,Hotel Archipelago
575,Trat,TH,89.01,scattered clouds,12.5,102.5,สวนหนิง-อัศ
577,Tecoanapa,MX,80.78,broken clouds,16.5167,-98.75,Hotel Manglares
578,Labuhan,ID,84.29,few clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
579,Balabac,PH,83.97,broken clouds,7.9868,117.0645,Sing and Swing Lodge
582,Sibu,MY,84.2,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
588,Saint-Georges,GD,78.51,clear sky,12.0564,-61.7485,Radisson Grenada Beach Resort
591,Kutum,SD,75.74,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
595,Boa Vista,BR,77.0,light rain,2.8197,-60.6733,Aipana Plaza Hotel
596,Nongstoin,IN,78.3,clear sky,25.5167,91.2667,P.W.D. Inspection Bungalow
598,Deori Khas,IN,88.5,broken clouds,23.4,79.0167,SAMARPAD COMPUTER DEORI
601,Najran,SA,77.0,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
602,Pasni,PK,80.33,clear sky,25.2631,63.471000000000004,Kashmiri Hotal
614,Pontianak,ID,84.2,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
616,Cockburn Town,TC,78.42,clear sky,21.4612,-71.1419,Osprey Beach Hotel
621,Tres Picos,MX,81.91,overcast clouds,15.8667,-93.5333,HOTEL TRES PICOS
622,Tautira,PF,75.2,light rain,-17.7333,-149.15,Pension Oaoa
624,Guane,CU,75.02,scattered clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
625,Mattru,SL,76.59,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
632,Eyl,SO,81.66,light rain,7.9803,49.8164,Amiin Hotel
636,Manado,ID,89.6,few clouds,1.4869999999999999,124.8455,Aryaduta Hotel
639,Naze,JP,77.0,few clouds,28.3667,129.4833,奄美ポートタワーホテル
640,Nabire,ID,81.77,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
645,Trincomalee,LK,83.01,few clouds,8.5711,81.2335,Welcombe Hotel
649,Banfora,BF,82.29,scattered clouds,10.6333,-4.7667,Residences David Hebié
650,Zaraza,VE,79.59,broken clouds,9.3503,-65.3245,Hotel Zaraza
654,San Juan Del Sur,NI,81.77,scattered clouds,11.2529,-85.8705,Nuestra Casa
657,Tipitapa,NI,84.2,clear sky,12.1973,-86.0971,Hotel Entre Rios
666,Santa Marta,CO,86.0,few clouds,11.2408,-74.199,Casa de Isabella
668,Bantogon,PH,83.79,scattered clouds,6.5333,124.0333,Kalamansig Greenhome
676,Soyo,AO,77.85,broken clouds,-6.1349,12.3689,Hotel Mpampa
682,Bubaque,GW,77.95,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
687,Nanakuli,US,80.6,overcast clouds,21.3906,-158.1547,Camp Pālehua
701,Kendari,ID,88.21,scattered clouds,-3.945,122.4989,Hotel Wixel
705,Nortelandia,BR,79.57,overcast clouds,-14.4547,-56.8028,Hotel Karysmã
707,Pochutla,MX,82.0,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
710,Bachaquero,VE,81.57,clear sky,9.9694,-71.1494,casa de los dinosaurios
711,Xochistlahuaca,MX,79.25,broken clouds,16.7833,-98.25,La frontera
713,Conakry,GN,79.27,few clouds,9.538,-13.6773,Riviera Royal Hotel
717,Sabang,ID,82.83,overcast clouds,5.8933,95.3214,Hotel Citra
719,Beba,CU,78.8,few clouds,22.4437,-79.7253,Hostal Cubaustria
723,Loa Janan,ID,87.33,overcast clouds,-0.583,117.095,Pondok hijau 2A
725,Olinda,BR,75.2,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
735,Corn Island,NI,80.65,broken clouds,12.1694,-83.0418,Big Fish Guest House
737,President Roxas,PH,89.6,broken clouds,7.1544,125.0558,Tiad Residence
